Woreda name,Woreda code,School Name,School Code,Pool ID,Eggs of Schistosoma,Eggs of Ascaris,Eggs of Hookworm,Eggs of Trichuris,other,Reading time (MIN),Reading time (SEC),,,,,,
Bahirdar zuria,747,Lafa,7,P1,0,0,0,0,0,2,0,,,,,,
Bahirdar zuria,747,Lafa,7,P2,0,0,0,0,0,2,5,,,,,,
Bahirdar zuria,747,Lafa,7,P3,0,0,0,0,0,2,3,,,,,,
Bahirdar zuria,747,Lafa,7,P4,0,0,4,0,0,2,10,,,,,,
Bahirdar zuria,747,Lafa,7,P5,0,0,3,0,0,1,58,,,,,,
Woldia town,844,Woldia,2,P1,0,0,0,0,0,4,52,,,,,,
Woldia town,844,Woldia,2,P2,0,0,0,0,0,4,30,,,,,,
Woldia town,844,Woldia,2,P3,0,0,0,0,0,4,29,,,,,,
Woldia town,844,Woldia,2,P4,0,0,0,0,0,4,35,,,,,,
Woldia town,844,Woldia,2,P5,0,0,0,0,0,4,45,,,,,,
Sehala seyemet,848,Meshcha,7,P1,0,0,0,0,0,6,5,,,,,,
Sehala seyemet,848,Meshcha,7,P2,0,0,0,0,0,7,5,,,,,,
Sehala seyemet,848,Meshcha,7,P3,0,0,0,0,0,10,20,,,,,,
Sehala seyemet,848,Meshcha,7,P4,0,0,0,0,0,5,45,,,,,,
Sehala seyemet,848,Meshcha,7,P5,0,0,0,0,0,7,20,,,,,,
Gozpebla,847,Aseketma,6,P1,0,0,0,0,0,6,10,,,,,,
Gozpebla,847,Aseketma,6,P2,0,0,0,0,0,9,15,,,,,,
Gozpebla,847,Aseketma,6,P3,0,0,0,0,0,7,20,,,,,,
Gozpebla,847,Aseketma,6,P4,0,0,0,0,0,10,15,,,,,,
Gozpebla,847,Aseketma,6,P5,0,0,0,0,0,7,10,,,,,,
Meket,841,Flakit,1,P1,0,0,0,0,2,5,32,,,,,,
Meket,841,Flakit,1,P2,0,0,0,0,0,4,49,,,,,,
Meket,841,Flakit,1,P3,0,0,0,0,0,5,10,,,,,,
Meket,841,Flakit,1,P4,0,0,0,0,0,5,5,,,,,,
Meket,841,Flakit,1,P5,0,0,0,0,0,4,57,,,,,,
Wadla,843,Hudergie,6,P1,0,0,0,0,0,4,25,,,,,,
Wadla,843,Hudergie,6,P2,0,0,0,0,0,4,30,,,,,,
Wadla,843,Hudergie,6,P3,0,0,0,0,0,4,10,,,,,,
Wadla,843,Hudergie,6,P4,0,0,0,0,2,4,7,,,,,,
Wadla,843,Hudergie,6,P5,0,0,0,0,0,4,15,,,,,,
Dawunt,834,Yareg,5,P1,0,0,0,0,0,4,0,,,,,,
Dawunt,834,Yareg,5,P2,0,0,0,0,0,4,43,,,,,,
Dawunt,834,Yareg,5,P3,0,0,0,0,0,4,50,,,,,,
Dawunt,834,Yareg,5,P4,0,0,0,0,2,4,47,,,,,,
Dawunt,834,Yareg,5,P5,0,0,0,0,1,5,0,,,,,,
Lalibela Ketema,839,Getergie,1,P1,0,25,0,0,0,4,57,,,,,,
Lalibela Ketema,839,Getergie,1,P2,0,82,0,0,0,5,5,,,,,,
Lalibela Ketema,839,Getergie,1,P3,0,63,0,0,0,5,0,,,,,,
Lalibela Ketema,839,Getergie,1,P4,0,7,0,0,0,4,45,,,,,,
Lalibela Ketema,839,Getergie,1,P5,0,3,0,0,0,4,52,,,,,,
Lasta,840,Sorba,10,P1,0,0,0,0,0,4,35,,,,,,
Lasta,840,Sorba,10,P2,0,2,0,0,0,5,22,,,,,,
Lasta,840,Sorba,10,P3,0,0,0,0,0,4,45,,,,,,
Lasta,840,Sorba,10,P4,0,0,0,0,0,4,52,,,,,,
Lasta,840,Sorba,10,P5,0,0,0,0,1,5,10,,,,,,
Bugna,833,Lydba,10,P1,0,3,0,0,0,7,0,,,,,,
Bugna,833,Lydba,10,P2,0,0,0,0,0,6,0,,,,,,
Bugna,833,Lydba,10,P3,0,0,0,0,1,8,0,,,,,, 
Bugna,833,Lydba,10,P4,0,0,0,0,0,5,20,,,,,,
Bugna,833,Lydba,10,P5,0,0,0,0,0,6,0,,,,,,
Gubalafto,836,wudmen,5,P1,0,135,0,0,0,5,10,,,,,,
Gubalafto,836,wudmen,5,P2,0,79,0,0,0,5,22,,,,,,
Gubalafto,836,wudmen,5,P3,0,35,0,0,1,4,52,,,,,,
Gubalafto,836,wudmen,5,P4,0,16,0,0,0,4,32,,,,,,
Gubalafto,836,wudmen,5,P5,0,11,0,0,0,4,57,,,,,,
Debre elyas,767,Dijiba,1,P1,0,19,0,0,0,5,10,,,,,,
Debre elyas,767,Dijiba,1,P2,0,20,0,0,0,5,22,,,,,,
Debre elyas,767,Dijiba,1,P3,0,11,0,0,0,4,52,,,,,,
Debre elyas,767,Dijiba,1,P4,0,5,0,0,0,4,32,,,,,,
Debre elyas,767,Dijiba,1,P5,0,5,0,0,0,4,57,,,,,,
Gidan,835,Nifasit Dega,9,P1,0,0,0,0,0,4,52,,,,,,
Gidan,835,Nifasit Dega,9,P2,0,0,0,0,13,5,5,,,,,,
Gidan,835,Nifasit Dega,9,P3,0,0,0,0,2,4,58,,,,,,
Gidan,835,Nifasit Dega,9,P4,0,0,0,0,0,4,49,,,,,,
Gidan,835,Nifasit Dega,9,P5,0,0,0,0,0,4,57,,,,,,
Gozpebla,847,Meskelo,7,P1,0,0,0,0,0,7,15,,,,,,
Gozpebla,847,Meskelo,7,P2,0,0,0,0,0,9,17,,,,,,
Gozpebla,847,Meskelo,7,P3,0,0,0,0,0,11,0,,,,,,
Gozpebla,847,Meskelo,7,P4,0,0,0,0,0,6,10,,,,,,
Gozpebla,847,Meskelo,7,P5,0,0,0,0,0,7,0,,,,,,
Gozpebla,847,Zarota,9,P1,0,0,0,0,0,6,42,,,,,,
Gozpebla,847,Zarota,9,P2,0,0,0,0,0,9,15,,,,,,
Gozpebla,847,Zarota,9,P3,0,0,0,0,0,10,20,,,,,,
Gozpebla,847,Zarota,9,P4,0,0,0,0,0,8,17,,,,,,
Gozpebla,847,Zarota,9,P5,0,0,0,0,0,6,10,,,,,,
Jile tumuga,785,Alala,6,P1,0,0,0,0,0,7,0,,,,,,
Jile tumuga,785,Alala,6,P2,0,0,0,0,0,6,29,,,,,,
Jile tumuga,785,Alala,6,P3,0,0,0,0,0,5,29,,,,,,
Jile tumuga,785,Alala,6,P4,0,0,0,0,0,5,35,,,,,,
Jile tumuga,785,Alala,6,P5,0,0,0,0,0,6,0,,,,,,
dewa Cefa,783,Gerbi,1,P1,1,1,0,0,0,4,35,,,,,,
dewa Cefa,783,Gerbi,1,P2,1,0,0,0,0,5,46,,,,,,
dewa Cefa,783,Gerbi,1,P3,2,0,0,0,0,7,35,,,,,,
dewa Cefa,783,Gerbi,1,P4,1,1,0,0,0,7,15,,,,,,
dewa Cefa,783,Gerbi,1,P5,0,9,0,0,0,3,33,,,,,,
Artuma  furisi,780,cefa robit,1,P1,0,0,0,0,0,5,0,,,,,,
Artuma  furisi,780,cefa robit,1,P2,1,0,0,0,0,3,20,,,,,,
Artuma  furisi,780,cefa robit,1,P3,0,0,0,0,0,4,0,,,,,,
Artuma  furisi,780,cefa robit,1,P4,0,0,0,0,0,3,45,,,,,,
Artuma  furisi,780,cefa robit,1,P5,0,0,0,0,0,4,2,,,,,,
Bati Geter,781,fura,8,P1,0,0,0,0,6,4,5,,,,,,
Bati Geter,781,fura,8,P2,0,0,0,0,0,3,20,,,,,,
Bati Geter,781,fura,8,P3,1,0,0,0,0,5,2,,,,,,
Bati Geter,781,fura,8,P4,0,0,0,0,0,4,30,,,,,,
Bati Geter,781,fura,8,P5,0,0,0,0,0,4,35,,,,,,
Bati Ketema,782,Salmane,5,P1,9,2,0,0,0,5,12,,,,,,
Bati Ketema,782,Salmane,5,P2,3,0,0,0,2,5,20,,,,,,
Bati Ketema,782,Salmane,5,P3,2,0,0,0,2,5,30,, ,,,,
Bati Ketema,782,Salmane,5,P4,4,0,0,0,0,5,5,,,,,,
Bati Ketema,782,Salmane,5,P5,3,0,0,0,0,5,18,,,,,,
kemise,786,kachur,6,P1,3,10,0,0,2,5,0,,,,,,
kemise,786,kachur,6,P2,3,8,0,0,0,5,25,,,,,,
